상품군별(1),상품군별(2),판매매체별(1),2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09 p),2023.10 p)
,,모바일쇼핑,-,-,-,-,-,-,-,-,-,-,-,-,542796,604164,644256,610167,756563,779106,672178,749801,655260,734007,851017,821246,821851,747384,766516,757862,896508,840147,1033785,773285,745845,832163,985290,792247,813945,828036,760069,747995,863252,871764,922915,819132,741617,824145,890008,835920,786435,723900,732366,741737,941062,926297,974649,860083,759477,879486
,통신기기,계,-,-,-,-,-,-,-,-,-,-,-,-,185982,240637,223373,202114,266407,205912,233408,368658,296418,398053,492104,429511,476860,336604,431228,331092,326226,331006,317089,467366,432004,764591,520991,452015,394469,531837,414202,351905,374147,351767,381100,545544,540076,855831,479180,431467,496552,651606,463304,383899,410797,349063,381755,583252,377911,926692
,,인터넷쇼핑,-,-,-,-,-,-,-,-,-,-,-,-,66670,89045,87615,73371,95064,79077,88714,130685,102631,144388,181801,145513,161170,102765,145456,112457,104285,99101,94417,151974,121684,233580,151667,121948,101128,157575,116570,101007,99287,87397,93806,160778,117363,258241,94140,106970,118015,168630,113518,96767,102374,89161,93448,166923,91301,279404
,,모바일쇼핑,-,-,-,-,-,-,-,-,-,-,-,-,119312,151592,135758,128743,171343,126835,144694,237973,193787,253665,310303,283998,315690,233839,285772,218635,221941,231905,222672,315392,310320,531011,369324,330067,293341,374262,297632,250898,274860,264370,287294,384766,422713,597590,385040,324497,378537,482976,349786,287132,308423,259902,288307,416329,286610,647288
서적,소계,계,173949,154317,196741,147909,133322,122458,156406,154251,147118,133779,147454,178831,167000,186751,260453,204465,170804,170991,192838,206849,222966,172641,186634,256385,259470,220264,269670,191687,188235,180939,222672,218647,207070,183503,206931,258394,243678,230581,291259,211942,201894,179672,214250,221277,205217,173564,200463,220472,217261,218686,262888,185994,193192,172262,212726,208812,190012,168389
,,인터넷쇼핑,100029,90350,114766,86671,78172,70403,89520,88775,82034,75696,84329,99281,86899,99913,140036,107916,94421,94184,106713,111455,118997,93412,102210,137150,133659,119527,144243,101344,100641,93793,111844,114727,103560,95322,115785,133369,115729,115790,147657,109353,110102,93119,111521,115428,103509,89656,107821,111781,100668,112805,131186,92753,103831,87083,104724,103459,93856,82799
,,모바일쇼핑,73920,63967,81975,61239,55150,52055,66886,65476,65084,58084,63125,79550,80101,86838,120418,96549,76383,76807,86125,95394,103969,79229,84424,119235,125811,100736,125426,90343,87594,87146,110827,103920,103509,88181,91145,125025,127949,114790,143602,102589,91792,86552,102729,105849,101708,83908,92642,108691,116594,105881,131702,93240,89361,85179,108002,105353,96156,85590
사무·문구,소계,계,79764,71208,81741,80638,72149,63607,69488,69003,69440,78616,85392,103299,95234,107398,110252,101037,99885,99815,102546,96104,108577,115409,128597,172918,131436,119851,139339,130299,116189,113739,110047,113421,117905,137595,150559,193861,141863,139874,152220,146543,131885,130473,130607,137082,140304,155689,176982,212393,152804,162761,179338,158726,147195,139823,137328,144401,141524,158413
,,인터넷쇼핑,42332,37243,43678,44447,38273,32913,36270,36165,35372,38660,42881,49822,43541,47168,47164,44459,44689,46931,46632,42054,48104,51390,57251,71186,52933,48524,59592,56309,49104,49442,46240,47181,48154,56823,64673,78030,54049,50583,57207,57361,48179,50489,49942,52250,53390,62095,71910,83931,55691,59597,70155,61422,55606,55560,55413,58058,56075,63267
,,모바일쇼핑,37433,33966,38063,36190,33876,30694,33219,32838,34068,39956,42511,53476,51694,60230,63087,56577,55196,52884,55914,54050,60473,64019,71347,101731,78502,71327,79747,73990,67085,64297,63807,66240,69751,80771,85887,115831,87814,89291,95014,89182,83706,79984,80665,84832,86915,93595,105072,128462,97113,103164,109183,97304,91588,84263,81916,86343,85450,95146
의복,소계,계,1107321,959743,1238235,1204083,1278281,1133621,1139671,912495,1187128,1413279,1710042,1462342,1055242,986168,1160673,1159378,1289693,1293204,1100533,934468,1181607,1632239,1772274,1532437,1124884,1032236,1494215,1438327,1404875,1416603,1298145,1077244,1365211,1829699,1996617,1895889,1350586,1203671,1629351,1720524,1696321,1582221,1439556,1248080,1556894,1936507,1994512,1939228,1382234,1386896,1820831,1650729,1769376,1598334,1501063,1277304,1446844,2044928
,,인터넷쇼핑,453476,384783,467275,464610,500106,440260,457448,347920,431788,509999,592593,520303,320897,301806,347668,365979,392840,396757,343047,286795,360967,479629,552723,466430,304546,257536,381946,389865,356514,364538,334011,267773,332776,448603,499606,468695,308884,284046,380961,414271,408567,377639,325424,293745,363088,459939,496859,495163,321894,347259,435989,408259,439274,436727,376930,338234,391661,530693
,,모바일쇼핑,653845,574960,770960,739473,778175,693361,682223,564575,755340,903280,1117449,942040,734345,684362,813004,793399,896853,896447,757485,647673,820640,1152610,1219551,1066008,820338,774700,1112270,1048461,1048361,1052065,964134,809471,1032435,1381096,1497011,1427194,1041702,919625,1248390,1306252,1287754,1204582,1114132,954335,1193806,1476568,1497653,1444065,1060340,1039637,1384842,1242469,1330102,1161607,1124133,939071,1055184,1514235
신발,소계,계,159646,156431,206810,204171,217438,211418,205065,162540,201008,212645,251485,231875,182390,189891,227319,235172,271157,278675,244370,198913,218111,260178,312872,271389,206175,224225,314281,284306,317546,322636,273041,235759,254781,301715,340226,341852,262789,254248,329075,340858,369700,338821,304568,294438,296034,329751,376290,371977,277765,304187,368852,340789,370078,332008,329970,267300,277106,364359
,,인터넷쇼핑,57560,53174,75702,78125,84205,84744,77272,59872,78129,82966,97033,97311,54230,59053,70872,84107,83799,91971,82793,61406,71103,79053,109037,83488,64255,70186,97134,92165,106967,115114,88639,84567,75751,84947,109030,103716,85462,75677,101372,101751,125339,97921,83272,104920,85115,86245,120227,104621,95188,110637,115741,112962,112925,94743,104473,83338,79401,119997
,,모바일쇼핑,102086,103257,131109,126046,133233,126674,127793,102668,122879,129679,154452,134564,128160,130839,156447,151065,187358,186704,161577,137508,147008,181125,203835,187901,141920,154038,217147,192141,210579,207522,184402,151193,179030,216769,231196,238136,177326,178571,227703,239107,244361,240900,221296,189518,210919,243506,256063,267356,182577,193550,253111,227827,257153,237266,225497,183961,197705,244362
가방,소계,계,202289,211934,230083,218640,225132,210523,209939,222228,228842,235527,232236,245214,173301,168500,148699,135553,153351,157391,169311,161919,158551,164310,166712,158409,155942,173834,203069,193441,192802,181809,190635,192678,206281,226365,226202,231770,227396,230871,244729,229548,235124,224739,221455,235994,232079,218194,234239,216635,235179,244744,272692,256149,257312,231079,247783,253018,244996,228010
,,인터넷쇼핑,50523,49676,53787,55233,55623,48750,54842,52064,54017,54563,55558,57540,49427,47170,44298,43952,44929,42383,49197,45372,44973,44855,49657,45691,41189,46304,55776,52194,51301,49554,52386,50221,51795,56886,54094,57408,53201,56511,60382,59534,62094,56650,53433,56374,55830,51014,61717,55726,61315,72007,79814,72727,71615,67647,65647,68911,69103,58172
,,모바일쇼핑,151766,162258,176296,163407,169509,161773,155097,170164,174824,180964,176678,187674,123875,121330,104401,91601,108422,115008,120113,116548,113579,119455,117055,112718,114752,127529,147292,141248,141501,132256,138249,142457,154486,169479,172108,174362,174195,174359,184347,170014,173030,168089,168022,179620,176249,167180,172522,160909,173864,172738,192878,183421,185696,163432,182136,184107,175893,169838
패션용품 및 액세서리,소계,계,191270,185262,211277,213521,233789,215417,231955,212401,212056,206328,216318,242365,228618,215694,222295,202474,228931,234539,246560,220971,207302,213669,237435,285067,241517,222517,266732,268753,283261,268901,281122,261076,260561,286796,304898,373651,312093,288668,297002,294098,320443,312072,315335,303638,287516,290222,320026,402703,303300,281535,315882,303838,326095,302468,318914,308898,279632,290740
,,인터넷쇼핑,57407,57275,66365,73293,76517,66261,70801,65641,65576,63501,63314,69366,60205,58294,60425,57173,64231,64361,68463,57366,55034,54693,63378,71753,58365,53788,65928,65080,67050,64848,67930,61175,59593,68668,69922,83741,66163,60566,62205,63400,70400,64864,63268,65539,59761,72015,75372,87805,67176,63160,74660,72310,72764,70200,70523,68299,66111,62915
,,모바일쇼핑,133863,127988,144911,140228,157272,149156,161154,146760,146480,142827,153004,172999,168413,157400,161870,145300,164699,170177,178097,163605,152268,158977,174057,213314,183152,168729,200804,203673,216211,204053,213192,199902,200968,218128,234976,289910,245930,228102,234798,230698,250042,247208,252067,238099,227755,218207,244654,314898,236124,218374,241222,231528,253331,232267,248391,240599,213521,227826
스포츠·레저용품,소계,계,275432,251940,331660,361085,408724,363405,391095,337705,343934,406650,417226,361262,274151,280908,355634,425931,475128,473507,489664,404842,443762,544942,532682,468063,358295,325108,449411,509969,503709,493076,512539,464797,504565,584014,541270,504776,395057,369551,481049,551237,588273,519198,528237,498989,522433,598114,554529,506335,374736,378907,504823,523878,571870,530059,495980,480991,491922,597270
,,인터넷쇼핑,110120,101920,138742,155688,168489,145672,159170,136062,138503,160646,157915,142094,96056,98994,121914,148167,157202,157255,163855,126290,141973,175550,179696,154353,112062,97819,137008,152182,143349,144128,150412,131717,138450,165433,160537,153219,114261,103094,131038,147386,160115,139058,136971,130890,136406,168511,165618,149140,105796,108083,143031,147078,153314,147972,134678,130269,135366,166013
,,모바일쇼핑,165312,150020,192918,205397,240235,217734,231926,201643,205431,246005,259311,219167,178095,181914,233720,277764,317926,316252,325810,278553,301788,369391,352986,313710,246233,227289,312403,357786,360360,348949,362127,333080,366115,418581,380733,351557,280796,266457,350011,403851,428158,380140,391267,368099,386027,429604,388912,357196,268940,270824,361792,376800,418556,382087,361302,350722,356556,431257
화장품,소계,계,901348,863072,1025719,963721,990437,944962,986542,1039664,1102640,1158245,1210348,1193049,1146509,1065530,1005016,982493,962443,1031949,1070731,1135896,1127110,1081927,1182673,1148286,1147751,966912,1111699,1096267,1199025,1096774,1052667,974706,1061988,1029706,1119776,1019900,930021,912067,1005545,914038,981740,941500,854458,882693,921376,908131,917463,928561,928339,889940,987033,984578,1039982,970641,978031,1006441,1018142,1063618
,,인터넷쇼핑,328732,301601,416273,384095,396828,375254,397100,433334,483892,502379,530197,492965,478871,431677,549437,613725,544433,603221,639734,709524,662349,616397,672859,589316,613312,471420,565467,546303,627130,537069,494430,389978,464003,461829,486791,306741,255433,256615,310306,270680,263849,267998,216324,210798,240039,237352,210439,207690,177186,193299,224511,257031,261176,233233,235281,235194,226794,256238
,,모바일쇼핑,572616,561471,609446,579626,593608,569708,589441,606331,618749,655866,680151,700083,667638,633853,455580,368768,418010,428728,430998,426372,464762,465530,509814,558970,534439,495492,546232,549965,571895,559705,558236,584729,597985,567877,632985,713159,674588,655451,695239,643357,717890,673502,638134,671895,681337,670779,707024,720871,751153,696641,762521,727547,778806,737408,742749,771247,791348,807380
아동·유아용품,소계,계,313678,286419,337553,354227,347942,303935,318267,308960,325269,349396,361415,442747,327048,384914,399680,390843,394902,364106,370888,366351,383837,388526,397184,519588,397306,366290,417464,428652,425263,379458,399376,374984,379942,407279,420119,544895,392958,389459,442417,469095,454709,404757,408558,413457,402550,426935,449756,543292,404884,397844,460317,457005,473013,409603,410482,403616,397506,442886
,,인터넷쇼핑,75693,69315,81126,96255,89934,75393,81422,75234,80547,84728,84398,108853,66459,78227,80931,86909,82169,75891,79504,72768,81214,82228,92322,112654,76331,70929,81193,85608,78558,71013,73392,68068,67934,78388,83407,110133,69789,61135,74244,86007,74944,66276,63225,68733,68923,82473,90933,108552,68891,69570,87695,89658,81864,75266,71216,71552,71560,79789
,,모바일쇼핑,237986,217104,256428,257972,258008,228542,236846,233726,244722,264669,277017,333894,260589,306687,318749,303934,312732,288216,291385,293583,302623,306298,304863,406934,320975,295361,336271,343044,346705,308446,325984,306917,312007,328891,336712,434761,323169,328325,368173,383088,379765,338481,345333,344725,333628,344462,358822,434740,335993,328274,372622,367346,391149,334338,339266,332064,325945,363097
음·식료품,소계,계,1193353,867434,1027271,1058853,1111609,1040151,1092958,1215522,1233759,1190483,1198157,1217181,1355630,1419357,1548428,1434034,1405946,1357491,1496279,1553827,1895413,1554795,1655339,1879418,1981958,1741479,1840361,1823237,1873785,1788855,1903206,1982391,2080059,1901883,1934971,2062019,2324888,1966486,2280971,2133641,2194724,2101713,2153704,2515917,2250475,2145461,2273974,2301890,2575567,2140355,2453210,2356730,2500617,2414799,2486031,2636138,2748439,2480277
,,인터넷쇼핑,397250,274273,330978,348841,364339,336297,358010,407028,410214,363472,359235,376396,374501,370239,389152,373593,355963,362597,392174,384112,513649,397875,435169,477547,495902,440637,457032,456317,464656,455613,479811,503976,526388,482799,478960,502045,598493,437371,532061,516440,530181,506523,507889,618580,531866,562780,604750,628984,705675,548121,638801,616848,639219,617036,621443,656574,715050,617441
,,모바일쇼핑,796103,593161,696293,710012,747270,703854,734948,808494,823544,827011,838922,840785,981130,1049118,1159276,1060441,1049983,994894,1104106,1169716,1381764,1156920,1220170,1401871,1486056,1300842,1383329,1366920,1409129,1333242,1423395,1478414,1553671,1419084,1456011,1559974,1726394,1529115,1748910,1617201,1664543,1595189,1645815,1897337,1718608,1582681,1669223,1672906,1869892,1592234,1814409,1739882,1861398,1797763,1864587,1979564,2033389,1862836
농축수산물,소계,계,413272,231118,278404,286290,285288,269840,282677,321530,374542,313056,325846,341186,492472,481068,554202,500913,443880,449916,493493,530773,782980,533924,560558,737017,806650,702649,646141,629164,644274,612349,650408,706447,848002,651166,658584,777554,1033836,666255,820081,741874,736449,707975,715896,893095,832114,734329,754822,824395,1067499,729801,815600,783558,832534,822009,843926,929327,1173165,885395
,,인터넷쇼핑,143447,66686,85583,90963,88609,79003,83075,104335,126828,88826,94042,99393,167765,141197,134303,122577,109372,127419,149236,143637,230277,133262,149928,188939,194477,179807,149084,140637,141927,139790,146884,159061,222442,152114,148841,173067,261437,126878,195102,181973,185489,173930,172799,228500,193786,188083,204037,225000,284798,182633,215635,204141,210739,211009,215584,235548,312818,230221
,,모바일쇼핑,269825,164432,192821,195328,196679,190836,199602,217195,247714,224229,231804,241793,324708,339871,419899,378336,334508,322496,344258,387136,552702,400662,410631,548078,612173,522842,497057,488527,502347,472559,503524,547387,625561,499052,509742,604487,772399,539377,624979,559901,550960,534046,543097,664595,638328,546246,550786,599395,782700,547168,599965,579417,621795,611000,628342,693779,860347,655174
생활용품,소계,계,831769,735651,869192,821882,862291,812251,845351,874832,859634,907585,932759,927285,924081,1133923,1236729,1055996,1137418,1144988,1191519,1256466,1204082,1142728,1180297,1344804,1258550,1118099,1274660,1223896,1269005,1255240,1313795,1290387,1278449,1326992,1336304,1444972,1343482,1326175,1452196,1331100,1371550,1359627,1372055,1447106,1321159,1353792,1413545,1439765,1332249,1278424,1453950,1375405,1486866,1459079,1489550,1499349,1415263,1531244
,,인터넷쇼핑,274481,239248,290887,294143,296296,267664,280599,288626,281795,291248,295220,298547,262702,315128,343598,316505,327283,333066,331810,325816,332078,310590,329747,371859,321382,290631,335114,320261,326245,326374,333481,321971,312739,340251,353966,362958,333513,296165,335129,316387,329262,308685,301585,321434,293692,350438,376511,378130,323129,313141,376468,361293,367957,364180,362205,368457,339499,370840
